  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
 16     28         0         0         0         0         0         0         0
 16     30         0         0         0         0         0         0         0
 16     32         0         0         0         0         0         0         0
 16     34         0         0         0         0         0         0         0
 16     36         0         0         0         0         0         0         0
 16     38         0         0         0         0         0         0         0
 18     14         0         0         0         0         0         0         0
 18     16         0         0         0         0         0         0         0
 18     18         0         0         0         0         0         0         0
 18     20         0         0         0         0         0         0         0
 18     22         0         0         0         0         0         0         0
 18     24         0         0         0         0         0         0         0
 18     26         0         0         0         0         0         0         0
 18     28         0         0         0         0         0         0         0
 18     30         0         0         0         0         0         0         0
 18     32         0         0         0         0         0         0         0
 18     34         0         0         0         0         0         0         0
 18     36         0         0         0         0         0         0         0
 18     38         0         0         0         0         0         0         0
 18     40         0         0         0         0         0         0         0
 18     42         0         0         0         0         0         0         0
 18     44         0         0         0         0         0         0         0
 18     46         0         0         0         0         0         0         0
 18     48         0         0         0         0         0         0         0
 18     50         0         0         0         0         0         0         0
 20     14         0         0         0         0         0         0         0
 20     16         0         0         0         0         0         0         0
 20     18         0         0         0         0         0         0         0
 20     20         0         0         0         0         0         0         0
 20     22         0         0         0         0         0         0         0
 20     24         0         0         0         0         0         0         0
 20     26         0         0         0         0         0         0         0
 20     28         0         0         0         0         0         0         0
 20     30         0         0         0         0         0         0         0
 20     32         0         0         0         0         0         0         0
 20     34         0         0         0         0         0         0         0
 20     36         0         0         0         0         0         0         0
 20     38         0         0         0         0         0         0         0
 20     40         0         0         0         0         0         0         0
 20     42         0         0         0         0         0         0         0
 20     44         0         0         0         0         0         0         0
 20     46         0         0         0         0         0         0         0
 20     48         0         0         0         0         0         0         0
 20     50         0         0         0         0         0         0         0
 20     52         0         0         0         0         0         0         0
 20     54         0         0         0         0         0         0         0
 20     56         0         0         0         0         0         0         0
 22     18         0         0         0         0         0         0         0
 22     20         0         0         0         0         0         0         0
 22     22         0         0         0         0         0         0         0
 22     24         0         0         0         0         0         0         0
 22     26         0         0         0         0         0         0         0
 22     28         0         0         0         0         0         0         0
 22     30         0         0         0         0         0         0         0
 22     32         0         0         0         0         0         0         0
 22     34         0         0         0         0         0         0         0
 22     36         0         0         0         0         0         0         0
 22     38         0         0         0         0         0         0         0
 22     40         0         0         0         0         0         0         0
 22     42         0         0         0         0         0         0         0
 22     44         0         0         0         0         0         0         0
 22     46         0         0         0         0         0         0         0
 22     48         0         0         0         0         0         0         0
 22     50         0         0         0         0         0         0         0
 22     52         0         0         0         0         0         0         0
 22     54         0         0         0         0         0         0         0
 22     56         0         0         0         0         0         0         0
 22     58         0         0         0         0         0         0         0
 24     18         0         0         0         0         0         0         0
 24     20         0         0         0         0         0         0         0
 24     22         0         0         0         0         0         0         0
 24     24         0         0         0         0         0         0         0
 24     26         0         0         0         0         0         0         0
 24     28         0         0         0         0         0         0         0
 24     30         0         0         0         0         0         0         0
 24     32         0         0         0         0         0         0         0
 24     34         0         0         0         0         0         0         0
 24     36         0         0         0         0         0         0         0
 24     38         0         0         0         0         0         0         0
 24     40         0         0         0         0         0         0         0
 24     42         0         0         0         0         0         0         0
 24     44         0         0         0         0         0         0         0
 24     46         0         0         0         0         0         0         0
 24     48         0         0         0         0         0         0         0
 24     50         0         0         0         0         0         0         0
 24     52         0         0         0         0         0         0         0
 24     54         0         0         0         0         0         0         0
 24     56         0         0         0         0         0         0         0
 24     58         0         0         0         0         0         0         0
 24     60         0         0         0         0         0         0         0
 26     20         0         0         0         0         0         0         0
 26     22         0         0         0         0         0         0         0
 26     24         0         0         0         0         0         0         0
 26     26         0         0         0         0         0         0         0
 26     28         0         0         0         0         0         0         0
 26     30         0         0         0         0         0         0         0
 26     32         0         0         0         0         0         0         0
 26     34         0         0         0         0         0         0         0
 26     36         0         0         0         0         0         0         0
 26     38         0         0         0         0         0         0         0
 26     40         0         0         0         0         0         0         0
 26     42         0         0         0         0         0         0         0
 26     44         0         0         0         0         0         0         0
 26     46         0         0         0         0         0         0         0
 26     48         0         0         0         0         0         0         0
 26     50         0         0         0         0         0         0         0
 26     52         0         0         0         0         0         0         0
 26     54         0         0         0         0         0         0         0
 26     56         0         0         0         0         0         0         0
 26     58         0         0         0         0         0         0         0
 26     60         0         0         0         0         0         0         0
 26     62         0         0         0         0         0         0         0
 28     22         0         0         0         0         0         0         0
 28     24         0         0         0         0         0         0         0
 28     26         0         0         0         0         0         0         0
 28     28         0         0         0         0         0         0         0
 28     30         0         0         0         0         0         0         0
 28     32         0         0         0         0         0         0         0
 28     34         0         0         0         0         0         0         0
 28     36         0         0         0         0         0         0         0
 28     38         0         0         0         0         0         0         0
 28     40         0         0         0         0         0         0         0
 28     42         0         0         0         0         0         0         0
 28     44         0         0         0         0         0         0         0
 28     46         0         0         0         0         0         0         0
 28     48         0         0         0         0         0         0         0
 28     50         0         0         0         0         0         0         0
 28     52         0         0         0         0         0         0         0
 28     54         0         0         0         0         0         0         0
 28     56         0         0         0         0         0         0         0
 28     58         0         0         0         0         0         0         0
 28     60         0         0         0         0         0         0         0
 28     62         0         0         0         0         0         0         0
 28     64         0         0         0         0         0         0         0
 30     24         0         0         0         0         0         0         0
 30     26         0         0         0         0         0         0         0
 30     28         0         0         0         0         0         0         0
 30     30         0         0         0         0         0         0         0
 30     32         0         0         0         0         0         0         0
 30     34         0         0         0         0         0         0         0
 30     36         0         0         0         0         0         0         0
 30     38         0         0         0         0         0         0         0
 30     40         0         0         0         0         0         0         0
 30     42         0         0         0         0         0         0         0
 30     44         0         0         0         0         0         0         0
 30     46         0         0         0         0         0         0         0
 30     48         0         0         0         0         0         0         0
 30     50         0         0         0         0         0         0         0
 30     52         0         0         0         0         0         0         0
 30     54         0         0         0         0         0         0         0
 30     56         0         0         0         0         0         0         0
 30     58         0         0         0         0         0         0         0
 30     60         0         0         0         0         0         0         0
 30     62         0         0         0         0         0         0         0
 30     64         0         0         0         0         0         0         0
 30     66         0         0         0         0         0         0         0
 30     68         0         0         0         0         0         0         0
 30     70         0         0         0         0         0         0         0
 30     72         0         0         0         0         0         0         0
 30     74         0         0         0         0         0         0         0
 30     76         0         0         0         0         0         0         0
 30     78         0         0         0         0         0         0         0
 32     28         0         0         0         0         0         0         0
 32     30         0         0         0         0         0         0         0
 32     32         0         0         0         0         0         0         0
 32     34         0         0         0         0         0         0         0
 32     36         0         0         0         0         0         0         0
 32     38         0         0         0         0         0         0         0
 32     40         0         0         0         0         0         0         0
 32     42         0         0         0         0         0         0         0
 32     44         0         0         0         0         0         0         0
 32     46         0         0         0         0         0         0         0
 32     48         0         0         0         0         0         0         0
 32     50         0         0         0         0         0         0         0
 32     52         0         0         0         0         0         0         0
 32     54         0         0         0         0         0         0         0
 32     56         0         0         0         0         0         0         0
 32     58         0         0         0         0         0         0         0
 32     60         0         0         0         0         0         0         0
 32     62         0         0         0         0         0         0         0
 32     64         0         0         0         0         0         0         0
 32     66         0         0         0         0         0         0         0
 32     68         0         0         0         0         0         0         0
 32     70         0         0         0         0         0         0         0
 32     72         0         0         0         0         0         0         0
 32     74         0         0         0         0         0         0         0
 32     76         0         0         0         0         0         0         0
 32     78         0         0         0         0         0         0         0
 32     80         0         0         0         0         0         0         0
 32     82         0         0         0         0         0         0         0
 34     30         0         0         0         0         0         0         0
 34     32         0         0         0         0         0         0         0
 34     34         0         0         0         0         0         0         0
 34     36         0         0         0         0         0         0         0
 34     38         0         0         0         0         0         0         0
 34     40         0         0         0         0         0         0         0
 34     42         0         0         0         0         0         0         0
 34     44         0         0         0         0         0         0         0
 34     46         0         0         0         0         0         0         0
 34     48         0         0         0         0         0         0         0
 34     50         0         0         0         0         0         0         0
 34     52         0         0         0         0         0         0         0
 34     54         0         0         0         0         0         0         0
 34     56         0         0         0         0         0         0         0
 34     58         0         0         0         0         0         0         0
 34     60         0         0         0         0         0         0         0
 34     62         0         0         0         0         0         0         0
 34     64         0         0         0         0         0         0         0
 34     66         0         0         0         0         0         0         0
 34     68         0         0         0         0         0         0         0
 34     70         0         0         0         0         0         0         0
 34     72         0         0         0         0         0         0         0
 34     74         0         0         0         0         0         0         0
 34     76         0         0         0         0         0         0         0
 34     78         0         0         0         0         0         0         0
 34     80         0         0         0         0         0         0         0
 34     82         0         0         0         0         0         0         0
 34     84         0         0         0         0         0         0         0
 34     86         0         0         0         0         0         0         0
 36     32         0         0         0         0         0         0         0
 36     34         0         0         0         0         0         0         0
 36     36         0         0         0         0         0         0         0
 36     38         0         0         0         0         0         0         0
 36     40         0         0         0         0         0         0         0
 36     42         0         0         0         0         0         0         0
 36     44         0         0         0         0         0         0         0
 36     46         0         0         0         0         0         0         0
 36     48         0         0         0         0         0         0         0
 36     50         0         0         0         0         0         0         0
 36     52         0         0         0         0         0         0         0
 36     54         0         0         0         0         0         0         0
 36     56         0         0         0         0         0         0         0
 36     58         0         0         0         0         0         0         0
 36     60         0         0         0         0         0         0         0
 36     62         0         0         0         0         0         0         0
 36     64         0         0         0         0         0         0         0
 36     66         0         0         0         0         0         0         0
